timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1612723610584,4,HTTP GET Request,200,OK,Users 1-47,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610590,3,HTTP GET Request,200,OK,Users 1-48,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,3,0,0
1612723610598,3,HTTP GET Request,200,OK,Users 1-49,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,3,0,0
1612723610605,3,HTTP GET Request,200,OK,Users 1-50,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,3,0,0
1612723610612,4,HTTP GET Request,200,OK,Users 1-51,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610618,3,HTTP GET Request,200,OK,Users 1-52,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,3,0,0
1612723610626,4,HTTP GET Request,200,OK,Users 1-53,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610633,4,HTTP GET Request,200,OK,Users 1-54,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610639,4,HTTP GET Request,200,OK,Users 1-55,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610646,5,HTTP GET Request,200,OK,Users 1-56,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,5,0,1
1612723610653,5,HTTP GET Request,200,OK,Users 1-57,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,5,0,1
1612723610660,5,HTTP GET Request,200,OK,Users 1-58,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,5,0,1
1612723610667,4,HTTP GET Request,200,OK,Users 1-59,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610674,4,HTTP GET Request,200,OK,Users 1-60,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610682,4,HTTP GET Request,200,OK,Users 1-61,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610689,4,HTTP GET Request,200,OK,Users 1-62,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610695,4,HTTP GET Request,200,OK,Users 1-63,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610702,4,HTTP GET Request,200,OK,Users 1-64,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610709,5,HTTP GET Request,200,OK,Users 1-65,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,5,0,0
1612723610716,4,HTTP GET Request,200,OK,Users 1-66,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610723,4,HTTP GET Request,200,OK,Users 1-67,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610730,4,HTTP GET Request,200,OK,Users 1-68,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,3,0,0
1612723610737,4,HTTP GET Request,200,OK,Users 1-69,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610745,5,HTTP GET Request,200,OK,Users 1-70,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,5,0,1
1612723610752,4,HTTP GET Request,200,OK,Users 1-71,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610758,5,HTTP GET Request,200,OK,Users 1-72,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,5,0,1
1612723610765,4,HTTP GET Request,200,OK,Users 1-73,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610772,4,HTTP GET Request,200,OK,Users 1-74,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610779,5,HTTP GET Request,200,OK,Users 1-75,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,5,0,1
1612723610786,4,HTTP GET Request,200,OK,Users 1-76,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610793,4,HTTP GET Request,200,OK,Users 1-77,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610800,4,HTTP GET Request,200,OK,Users 1-78,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610808,4,HTTP GET Request,200,OK,Users 1-79,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
